id,比赛时间,必发交易量,更新时间差_小时,必发更新时间
"2334730	2025-01-11 20:00:00	53340	2334730	10	2025-01-11 09:20:10",,,,
"2334730	2025-01-11 20:00:00	56818	2334730	10	2025-01-11 09:51:08",,,,
"2334723	2025-01-12 23:00:00	2200721	2334723	0	2025-01-12 22:20:07",,,,
"2334723	2025-01-12 23:00:00	5330695	2334723	0	2025-01-12 22:50:07",,,,
"2334723	2025-01-12 23:00:00	1562399	2334723	1	2025-01-12 21:20:06",,,,
"2334723	2025-01-12 23:00:00	1691907	2334723	1	2025-01-12 21:50:24",,,,
"2334723	2025-01-12 23:00:00	1262364	2334723	2	2025-01-12 20:20:09",,,,
"2334723	2025-01-12 23:00:00	1428814	2334723	2	2025-01-12 20:50:26",,,,
"2334723	2025-01-12 23:00:00	1150339	2334723	3	2025-01-12 19:20:07",,,,
"2334723	2025-01-12 23:00:00	1212461	2334723	3	2025-01-12 19:50:29",,,,
"2334723	2025-01-12 23:00:00	1003356	2334723	4	2025-01-12 18:20:07",,,,
"2334723	2025-01-12 23:00:00	1092083	2334723	4	2025-01-12 18:50:07",,,,
"2334723	2025-01-12 23:00:00	854341	2334723	5	2025-01-12 17:20:06",,,,
"2334723	2025-01-12 23:00:00	975507	2334723	5	2025-01-12 17:50:07",,,,
"2334723	2025-01-12 23:00:00	701533	2334723	6	2025-01-12 16:20:07",,,,
"2334723	2025-01-12 23:00:00	796524	2334723	6	2025-01-12 16:50:07",,,,
"2334723	2025-01-12 23:00:00	668386	2334723	7	2025-01-12 15:20:07",,,,
"2334723	2025-01-12 23:00:00	676987	2334723	7	2025-01-12 15:50:07",,,,
"2334723	2025-01-12 23:00:00	641194	2334723	8	2025-01-12 14:20:05",,,,
"2334723	2025-01-12 23:00:00	657843	2334723	8	2025-01-12 14:50:28",,,,
"2334723	2025-01-12 23:00:00	625699	2334723	9	2025-01-12 13:20:07",,,,
"2334723	2025-01-12 23:00:00	634622	2334723	9	2025-01-12 13:50:08",,,,
"2334723	2025-01-12 23:00:00	619059	2334723	10	2025-01-12 12:20:07",,,,
"2334723	2025-01-12 23:00:00	623361	2334723	10	2025-01-12 12:50:30",,,,
"2334723	2025-01-12 23:00:00	504007	2334723	11	2025-01-12 11:20:07",,,,
"2334723	2025-01-12 23:00:00	513280	2334723	11	2025-01-12 11:50:31",,,,
"2334723	2025-01-12 23:00:00	482499	2334723	12	2025-01-12 10:20:07",,,,
"2334723	2025-01-12 23:00:00	484564	2334723	12	2025-01-12 10:50:28",,,,
"2334723	2025-01-12 23:00:00	474037	2334723	13	2025-01-12 09:20:07",,,,
"2334723	2025-01-12 23:00:00	477088	2334723	13	2025-01-12 09:50:07",,,,
"2334721	2025-01-11 23:00:00	580999	2334721	0	2025-01-11 22:20:17",,,,
"2334721	2025-01-11 23:00:00	1321357	2334721	0	2025-01-11 22:51:12",,,,
"2334721	2025-01-11 23:00:00	484859	2334721	1	2025-01-11 21:20:16",,,,
"2334721	2025-01-11 23:00:00	520464	2334721	1	2025-01-11 21:51:23",,,,
"2334721	2025-01-11 23:00:00	383942	2334721	2	2025-01-11 20:20:15",,,,
"2334721	2025-01-11 23:00:00	428986	2334721	2	2025-01-11 20:51:27",,,,
"2334721	2025-01-11 23:00:00	325860	2334721	3	2025-01-11 19:20:16",,,,
"2334721	2025-01-11 23:00:00	361863	2334721	3	2025-01-11 19:51:35",,,,
"2334721	2025-01-11 23:00:00	291676	2334721	4	2025-01-11 18:20:13",,,,
"2334721	2025-01-11 23:00:00	303952	2334721	4	2025-01-11 18:51:38",,,,
"2334721	2025-01-11 23:00:00	275795	2334721	5	2025-01-11 17:20:13",,,,
"2334721	2025-01-11 23:00:00	282989	2334721	5	2025-01-11 17:50:13",,,,
"2334721	2025-01-11 23:00:00	264773	2334721	6	2025-01-11 16:20:13",,,,
"2334721	2025-01-11 23:00:00	269594	2334721	6	2025-01-11 16:51:14",,,,
"2334721	2025-01-11 23:00:00	261453	2334721	7	2025-01-11 15:20:14",,,,
"2334721	2025-01-11 23:00:00	262095	2334721	7	2025-01-11 15:50:13",,,,
"2334721	2025-01-11 23:00:00	259503	2334721	8	2025-01-11 14:20:13",,,,
"2334721	2025-01-11 23:00:00	260375	2334721	8	2025-01-11 14:51:11",,,,
"2334721	2025-01-11 23:00:00	257828	2334721	9	2025-01-11 13:20:14",,,,
"2334721	2025-01-11 23:00:00	258183	2334721	9	2025-01-11 13:50:13",,,,
"2334721	2025-01-11 23:00:00	255466	2334721	10	2025-01-11 12:20:12",,,,
"2334721	2025-01-11 23:00:00	256208	2334721	10	2025-01-11 12:51:23",,,,
"2334721	2025-01-11 23:00:00	242260	2334721	11	2025-01-11 11:20:12",,,,
"2334721	2025-01-11 23:00:00	254112	2334721	11	2025-01-11 11:51:20",,,,
"2334721	2025-01-11 23:00:00	240204	2334721	12	2025-01-11 10:20:11",,,,
"2334721	2025-01-11 23:00:00	241572	2334721	12	2025-01-11 10:50:11",,,,
"2334721	2025-01-11 23:00:00	238417	2334721	13	2025-01-11 09:20:10",,,,
"2334721	2025-01-11 23:00:00	239901	2334721	13	2025-01-11 09:51:09",,,,
"2334720	2025-01-11 23:00:00	307103	2334720	0	2025-01-11 22:20:17",,,,
"2334720	2025-01-11 23:00:00	409577	2334720	0	2025-01-11 22:51:12",,,,
"2334720	2025-01-11 23:00:00	284608	2334720	1	2025-01-11 21:20:16",,,,
"2334720	2025-01-11 23:00:00	291952	2334720	1	2025-01-11 21:51:23",,,,
"2334720	2025-01-11 23:00:00	265944	2334720	2	2025-01-11 20:20:15",,,,
"2334720	2025-01-11 23:00:00	273368	2334720	2	2025-01-11 20:51:27",,,,
"2334720	2025-01-11 23:00:00	194764	2334720	3	2025-01-11 19:20:16",,,,
"2334720	2025-01-11 23:00:00	227996	2334720	3	2025-01-11 19:51:35",,,,
"2334720	2025-01-11 23:00:00	124688	2334720	4	2025-01-11 18:20:13",,,,
"2334720	2025-01-11 23:00:00	183048	2334720	4	2025-01-11 18:51:38",,,,
"2334720	2025-01-11 23:00:00	93325	2334720	5	2025-01-11 17:20:13",,,,
"2334720	2025-01-11 23:00:00	111533	2334720	5	2025-01-11 17:50:13",,,,
"2334720	2025-01-11 23:00:00	59582	2334720	6	2025-01-11 16:20:13",,,,
"2334720	2025-01-11 23:00:00	65239	2334720	6	2025-01-11 16:51:14",,,,
"2334720	2025-01-11 23:00:00	58505	2334720	7	2025-01-11 15:20:14",,,,
"2334720	2025-01-11 23:00:00	58807	2334720	7	2025-01-11 15:50:13",,,,
