25	1992118	2023-06-07 06:00:00	4	解放者杯	32	\N	2003	3	1.75	1.66-2.3	3.45	4.60	1.75	1.66-2.3	3.50	4.50	1	0-3	2	0-3	3	3-7	2	0-3	1	0-3	0	0-3	3	3-7	3	3-7	3	3-7	1	0-3	1	0-3	1	0-3	4	4-9	1	1	1	1	1	1	0	1	-1	0.00	0.05	-0.10	-0.001-0.001	0.001-0.06	-0.16--0.06	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
26	1992119	2023-06-28 06:00:00	4	解放者杯	32	\N	2005	1	3.05	2.3-3.2	3.10	2.12	2.58	2.3-3.2	3.15	2.66	14	13+	2	0-3	7	7-13	9	7-13	2	0-3	11	7-13	23	13+	4	3-7	18	13+	1	0-3	20	13+	6	3-7	24	15+	1	3	2	3	1	2	-1	1	1	-0.47	0.05	0.54	负无穷--0.16	0.001-0.06	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
27	2189320	2024-05-31 06:00:00	4	解放者杯	32	\N	4003	1	1.50	1.28-1.66	3.85	6.70	1.51	1.28-1.66	3.80	6.80	2	0-3	4	3-7	4	3-7	3	3-7	4	3-7	6	3-7	5	3-7	8	7-13	10	7-13	7	7-13	4	3-7	2	0-3	12	9-15	3	2	1	1	2	3	1	-1	1	0.01	-0.05	0.10	0.001-0.06	-0.06--0.001	0.06-0.17	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
28	2189325	2024-04-11 06:00:00	4	解放者杯	32	\N	3006	3	1.41	1.28-1.66	4.15	6.70	1.46	1.28-1.66	4.05	6.90	5	3-7	6	3-7	5	3-7	6	3-7	5	3-7	7	7-13	11	7-13	11	7-13	12	7-13	6	3-7	6	3-7	5	3-7	17	15+	2	2	1	1	1	3	1	-1	1	0.05	-0.10	0.20	0.001-0.06	-0.16--0.06	0.17-0.29	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
29	2189326	2024-05-31 06:00:00	4	解放者杯	32	\N	4002	3	1.19	0-1.28	5.90	11.00	1.23	0-1.28	5.80	10.00	5	3-7	6	3-7	6	3-7	7	7-13	7	7-13	5	3-7	12	7-13	13	13+	11	7-13	10	7-13	9	7-13	11	7-13	22	15+	2	1	3	2	3	1	1	-1	-1	0.04	-0.10	-1.00	0.001-0.06	-0.16--0.06	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
30	1992110	2023-06-30 06:00:00	4	解放者杯	32	\N	4001	1	1.54	1.28-1.66	3.65	4.90	1.43	1.28-1.66	4.05	7.40	10	7-13	11	7-13	15	13+	11	7-13	13	13+	14	13+	21	13+	24	13+	29	13+	9	7-13	6	3-7	1	0-3	30	15+	3	2	1	1	2	3	-1	1	1	-0.11	0.40	2.50	-0.16--0.06	0.29+	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
31	2189329	2024-05-08 06:00:00	4	解放者杯	32	\N	2002	0	3.30	3.2+	3.10	2.21	3.15	2.3-3.2	2.94	2.36	4	3-7	8	7-13	1	0-3	4	3-7	3	3-7	5	3-7	8	7-13	11	7-13	6	3-7	5	3-7	2	0-3	7	7-13	13	9-15	2	1	3	2	3	1	-1	-1	1	-0.15	-0.16	0.15	-0.16--0.06	负无穷--0.16	0.06-0.17	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
32	1992108	2023-06-30 06:00:00	4	解放者杯	32	\N	4002	3	1.24	0-1.28	5.00	8.50	1.37	1.28-1.66	4.45	7.70	20	13+	23	13+	28	13+	24	13+	19	13+	22	13+	44	13+	42	13+	50	13+	12	7-13	14	13+	6	3-7	56	15+	2	3	1	2	1	3	1	-1	-1	0.13	-0.55	-0.80	0.06-0.17	负无穷--0.16	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
33	2189333	2024-05-29 06:00:00	4	解放者杯	32	\N	2005	3	2.03	1.66-2.3	3.20	3.35	2.04	1.66-2.3	3.20	3.65	7	7-13	2	0-3	5	3-7	8	7-13	2	0-3	6	3-7	15	13+	4	3-7	11	7-13	3	3-7	14	13+	7	7-13	18	15+	1	3	2	3	1	2	1	0	1	0.01	0.00	0.30	0.001-0.06	-0.001-0.001	0.29+	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
34	1992107	2023-06-07 08:00:00	4	解放者杯	32	\N	2004	3	1.60	1.28-1.66	3.50	5.90	1.60	1.28-1.66	3.60	5.60	11	7-13	6	3-7	12	7-13	8	7-13	8	7-13	14	13+	19	13+	14	13+	26	13+	10	7-13	15	13+	3	3-7	29	15+	2	3	1	2	1	3	0	1	-1	0.00	0.10	-0.30	-0.001-0.001	0.06-0.17	负无穷--0.16	2025-03-01 18:49:58	2025-03-01 18:49:58	0	\N
